Title,Author,ISBN,Language,Pub. Year,Date Read,Rating,Read Count
Monday Mornings,Sanjay Gupta,,ua,2012,2021-05,,1
Permanent Record,Edward Snowden,,en,2019,2021-07-01,,1
Eat and Run,Scott Jurek,,ua,2012,2021-08-01,,1
Meditations,Marcus Aurelius,9780865975101,en,,2022-01-05,,1
"Dialogues of Plato (Apology, Gorgias, Crito)",Plato,,ru,,2022-01-07,,1
Ancient Roman Thinkers,,,ru,,2022-01-12,,1
Hunger,Knut Hamsun,,en,1890,2022-01-17,,1
Where wizards stay up late (The Origins Of The Internet),Katie Hafner and Matthew Lyon,0-684-87216-1,en,,2022-02-30,,1
Animal Farm,George Orwell,978-966-2355-60-4,ua,1945,2022-04-01,,1
Sapiens: A Brief History of Humankind,Yuval Noah Harari,978-0-7710-3850-1,en,2011,2022-04-15,,1
The Metamorphosis of Prime Intellect,Roger Williams,978-1-4116-0219-9,en,2002,2022-05-30,,1
